Threads_16,100000000,16,3.14155,0.8684,0.4252,2.04233,12.7646
Threads_10000000,10000000,16,3.14183,0.0856,0.0426,2.00939,12.5587
Threads_50000000,50000000,16,3.14148,0.4318,0.2138,2.01964,12.6228
Threads_100000000,100000000,16,3.14165,0.8724,0.4246,2.05464,12.8415
Threads_10000000,10000000,16,3.14168,0.086,0.0428,2.00935,12.5584
Threads_50000000,50000000,16,3.1417,0.4394,0.213,2.06291,12.8932
Threads_100000000,100000000,16,3.14161,0.8844,0.4308,2.05292,12.8308
Threads_16,100000000,16,3.14154,0.8522,0.4342,1.96269,12.2668
Threads_8,100000000,8,3.14162,0.8494,0.403,2.10769,26.3462
Threads_4,100000000,4,3.1416,0.848,0.5636,1.50461,37.6153
Threads_2,100000000,2,3.14159,0.8608,0.8342,1.03189,51.5943
